signal,p95_baseline,deviation_observations,deviation_rate,fault_rate_after_deviation,fault_rate_without_deviation,lift,faults_after_deviation,overall_fault_rate
gw_temp_site2_anomaly_score,75.69,312,0.035710198008469723,1.0,0.7264094955489614,1.3766339869281046,312,0.7361794666361451
326417_ws_temp,0.0,150,0.01716836442714891,1.0,0.7315709793874461,1.3669213626233685,150,0.7361794666361451
319235_ws_temp,0.0,138,0.015794895272976995,1.0,0.7319455750668682,1.3662217985382905,138,0.7361794666361451
326416_ws_vigor,12.49281,222,0.025409179352180383,0.972972972972973,0.7300058719906048,1.3328289679641032,216,0.7361794666361451
279805_ws_vigor,0.0,294,0.03364999427721186,0.9591836734693877,0.7284140708279048,1.3168110170897627,282,0.7361794666361451
279831_ws_temp,0.0,210,0.02403571019800847,0.9428571428571428,0.7310894804737892,1.2896603877354598,198,0.7361794666361451
279625_ws_temp,0.0,180,0.02060203731257869,0.9333333333333333,0.7320322542947295,1.2749893571732651,168,0.7361794666361451
temp_site1_anomaly_score,47.88,436,0.04990271260157949,0.9128440366972477,0.7269003734489821,1.2558035049094884,398,0.7361794666361451
sfc_temp_site1_anomaly_score,47.41,434,0.04967380107588417,0.9101382488479263,0.7270865952065518,1.2517604572112526,395,0.7361794666361451
279623_ws_vigor,0.0,192,0.021975506466750602,0.90625,0.7323581041544763,1.237441075423458,174,0.7361794666361451
279804_ws_level,0.0,210,0.02403571019800847,0.8857142857142857,0.7324967749501583,1.209171584099538,186,0.7361794666361451
4700008966_power_hour,0.028974043199999994,437,0.05001716836442715,0.8329519450800915,0.7310843373493976,1.139337696797093,364,0.7361794666361451
4700008966_kW,0.028974043199999994,437,0.05001716836442715,0.8329519450800915,0.7310843373493976,1.139337696797093,364,0.7361794666361451
4408411600_power_hour,0.22959332949999978,329,0.037655945976879934,0.8115501519756839,0.7332302568981922,1.106814870691249,267,0.7361794666361451
4608927500_kvar_hour,0.0,324,0.03708366716264164,0.7901234567901234,0.7341019850231784,1.0763129277809762,256,0.7361794666361451
4408411600_kW,0.0,252,0.028842852237610163,0.7698412698412699,0.7351797289334119,1.0471470302345585,194,0.7361794666361451
238045_ws_temp,0.0,102,0.011674487810461256,0.7352941176470589,0.7361899247249566,0.9987831848171076,75,0.7361794666361451
gw_lvl_site2_anomaly_score,75.79,336,0.03845713631681355,0.7142857142857143,0.7370551124866087,0.9691076042820229,240,0.7361794666361451
